species,common_name,status,count,url
Pluvialis squatarola,Grey plover,Common,67265,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208892/Pluvialis_squatarola_qnao3y.png
Anas crecca,Eurasian teal,Migrating,306621,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208519/Anas_crecca_xivplx.png
Branta canadensis,Canada goose,Exotic,92001,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208616/Branta_canadensis_kwowkz.png
Phalaropus lobatus,Red-necked phalarope,Migrating,4394,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208872/Phalaropus_lobatus_qrby2s.png
Aythya ferina,Common pochard,Common,142638,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208602/Aythya_ferina_zgkrbq.png
Milvus milvus,Unknown,Unknown,253069,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208841/Milvus_milvus_g1aekx.png
Sternula albifrons,Little tern,Common,35800,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208928/Sternula_albifrons_i41dsq.png
Thalasseus sandvicensis,Sandwich tern,Common,109845,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208944/Thalasseus_sandvicensis_vfhjux.png
Sterna hirundo,Common tern,Endangered,100599,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208927/Sterna_hirundo_okhq30.png
Aythya fuligula,Tufted duck,Migrating,316431,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208604/Aythya_fuligula_lao3rg.png
Hydrocoloeus minutus,Little gull,Common,45568,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208778/Hydrocoloeus_minutus_velwoj.png
Uria aalge,Common murre,Migrating,33591,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208957/Uria_aalge_koc0ff.png
Alcedo atthis,Common kingfisher,Migrating,79198,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208515/Alcedo_atthis_wr9mfq.png
Calidris ferruginea,Curlew sandpiper,Endangered,35286,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208657/Calidris_ferruginea_i8rkac.png
Saxicola rubicola,European stonechat,Common,55335,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208913/Saxicola_rubicola_kczjw9.png
Chroicocephalus ridibundus,Black-headed gull,Migrating,381955,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208695/Chroicocephalus_ridibundus_xmhsrs.png
Pluvialis apricaria,European golden plover,Common,147389,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208891/Pluvialis_apricaria_kgp8mn.png
Circus cyaneus,Hen harrier,Migrating,173869,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208701/Circus_cyaneus_smkng8.png
Dendrocopos major,Great spotted woodpecker,Common,289546,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208724/Dendrocopos_major_vptqgv.png
Parus major,Unknown,Unknown,444794,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208861/Parus_major_ka81xa.png
Gallinago gallinago,Common snipe,Common,147524,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208755/Gallinago_gallinago_av6zjb.png
Acanthis flammea,Redpoll,Common,47172,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208504/Acanthis_flammea_yw5l4a.png
Tachybaptus ruficollis,Little grebe,Common,158751,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208939/Tachybaptus_ruficollis_gc9bim.png
Luscinia luscinia,Common nightingale,Common,60988,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208826/Luscinia_luscinia_x3zqjq.png
Buteo lagopus,Rough-legged buzzard,Migrating,85210,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208632/Buteo_lagopus_w8zbuo.png
Calidris pugnax,Ruff (bird),Migrating,97132,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208673/Calidris_pugnax_ydt3st.png
Spatula clypeata,Northern shoveler,Migrating,162112,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208920/Spatula_clypeata_kzy9zl.png
Tringa ochropus,Green sandpiper,Common,76164,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208948/Tringa_ochropus_zuawou.png
Cuculus canorus,Common cuckoo,Common,127717,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208714/Cuculus_canorus_egnybj.png
Fringilla montifringilla,Brambling,Migrating,93020,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208752/Fringilla_montifringilla_ggphib.png
Branta leucopsis,Barnacle goose,Common,256864,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208619/Branta_leucopsis_vwkwlo.png
Regulus ignicapilla,Common firecrest,Migrating,16372,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208908/Regulus_ignicapilla_fn220i.png
Prunella modularis,Dunnock,Exotic,163253,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208901/Prunella_modularis_gicwme.png
Fulmarus glacialis,Northern fulmar,Common,14932,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208754/Fulmarus_glacialis_sgavqb.png
Carduelis carduelis,European goldfinch,Exotic,200153,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208679/Carduelis_carduelis_ntiqgw.png
Fringilla coelebs,Eurasian chaffinch,Common,418333,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208752/Fringilla_coelebs_ou8pqh.png
Anas acuta,Northern pintail,Endangered,101363,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208518/Anas_acuta_bqkapy.png
Regulus regulus,Goldcrest,Common,133200,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208909/Regulus_regulus_qhr7fp.png
Falco peregrinus,Peregrine falcon,Endangered,115222,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208744/Falco_peregrinus_fuywr6.png
Calidris maritima,Purple sandpiper,Common,16570,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208671/Calidris_maritima_wtsotg.png
Anthus spinoletta,Water pipit,Common,9474,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208578/Anthus_spinoletta_gs5zym.png
Aythya marila,Greater scaup,Migrating,35125,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208606/Aythya_marila_jslbct.png
Corvus corax,Common raven,Common,247830,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208710/Corvus_corax_bostjl.png
Turdus pilaris,Fieldfare,Migrating,207773,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208954/Turdus_pilaris_nymt0o.png
Corvus frugilegus,Rook (bird),Common,210578,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208712/Corvus_frugilegus_qgeheq.png
Rallus aquaticus,Water rail,Endangered,95523,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208907/Rallus_aquaticus_najnwu.png
Erithacus rubecula,European robin,Migrating,300008,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208739/Erithacus_rubecula_qxlfhw.png
Spatula querquedula,Garganey,Migrating,39997,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208922/Spatula_querquedula_bzk8ar.png
Actitis hypoleucos,Common sandpiper,Common,109180,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208508/Actitis_hypoleucos_ln3kk0.png
Tringa nebularia,Common greenshank,Common,146468,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208947/Tringa_nebularia_ocljav.png
Panurus biarmicus,Bearded reedling,Common,68714,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208860/Panurus_biarmicus_ynffg8.png
Arenaria interpres,Ruddy turnstone,Migrating,44589,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208594/Arenaria_interpres_qvmw0f.png
Passer montanus,Eurasian tree sparrow,Endangered,173152,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208864/Passer_montanus_hzegns.png
Anthus trivialis,Tree pipit,Common,77210,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208579/Anthus_trivialis_pxen8k.png
Crex crex,Unknown,Unknown,4819,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208713/Crex_crex_rmnhhh.png
Tringa glareola,Wood sandpiper,Common,78384,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208946/Tringa_glareola_hjenl5.png
Rissa tridactyla,Black-legged kittiwake,Common,39710,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208911/Rissa_tridactyla_lmhq0i.png
Aquila chrysaetos,Golden eagle,Common,16484,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208583/Aquila_chrysaetos_zbyevm.png
Emberiza citrinella,Yellowhammer,Exotic,267544,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208733/Emberiza_citrinella_vuky1z.png
Tringa erythropus,Spotted redshank,Migrating,56170,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208945/Tringa_erythropus_sypeth.png
Podiceps grisegena,Red-necked grebe,Migrating,120206,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208894/Podiceps_grisegena_ldgdvv.png
Melanitta fusca,Velvet scoter,Common,69127,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208833/Melanitta_fusca_tea4xb.png
Delichon urbicum,Western house martin,Endangered,142793,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208723/Delichon_urbicum_bzbqb2.png
Linaria flavirostris,Twite,Migrating,45007,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208813/Linaria_flavirostris_cbjfxh.png
Larus fuscus,Lesser black-backed gull,Migrating,55408,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208792/Larus_fuscus_slitub.png
Stercorarius skua,Great skua,Common,11803,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208925/Stercorarius_skua_pnumgb.png
Cepphus grylle,Black guillemot,Common,25637,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208684/Cepphus_grylle_wkmato.png
Larus cachinnans,Caspian gull,Common,23740,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208790/Larus_cachinnans_bywtib.png
Passer domesticus,House sparrow,Common,111255,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208862/Passer_domesticus_qeznah.png
Lymnocryptes minimus,Jack snipe,Common,8255,https://res.cloudinary.com/dnymlkh8e/image/upload/v1775208827/Lymnocryptes_minimus_vkw5cy.png
