,eventDate,decimalLatitude,decimalLongitude,genus,species
100919,2023-07-28,55.92009,11.71437,Rallus,Rallus aquaticus
100920,2023-07-28,55.05193,9.77347,Sylvia,Sylvia atricapilla
100921,2023-07-28,55.78779,12.48073,Apus,Apus apus
100922,2023-07-28,55.97604,11.77679,Numenius,Numenius phaeopus
100923,2023-07-28,55.09929,14.90225,Circus,Circus aeruginosus
100924,2023-07-28,57.11805,10.40378,Pluvialis,Pluvialis squatarola
100925,2023-07-28,55.48498,9.43347,Larus,Larus argentatus
100926,2023-07-27,55.51066,9.8391,Circus,Circus aeruginosus
100927,2023-07-29,55.27241,12.26139,Macroglossum,Macroglossum stellatarum
100928,2023-07-29,55.88347,12.32182,Aphantopus,Aphantopus hyperantus
100929,2023-07-29,56.03909,12.12409,Delichon,Delichon urbicum
100930,2023-07-29,55.61274,12.37731,Anser,Anser anser
100931,2023-07-29,55.09183,15.08748,Dendrocopos,Dendrocopos major
100932,2023-07-29,55.86275,9.99022,Larus,Larus marinus
100933,2023-07-29,55.55633,11.28477,Vanellus,Vanellus vanellus
100934,2022-01-07,56.52908,10.66553,Melanitta,Melanitta nigra
100935,2022-01-07,57.03441,9.79913,Turdus,Turdus pilaris
100936,2022-01-07,55.86167,10.11761,Sturnus,Sturnus vulgaris
100937,2022-01-08,55.24731,8.96881,Cygnus,Cygnus cygnus
100938,2022-01-08,54.90215,9.17467,Anser,Anser serrirostris
100939,2022-01-08,55.60453,12.37554,Bucephala,Bucephala clangula
100940,2022-01-08,56.41919,10.32369,Buteo,Buteo lagopus
100941,2022-01-08,55.25293,9.48897,Cygnus,Cygnus olor
100942,2022-01-08,54.84376,9.39197,Anser,Anser anser
100943,2022-01-08,56.34421,10.65984,Circus,Circus cyaneus
100944,2022-01-08,55.88494,11.52739,Tadorna,Tadorna tadorna
100945,2022-01-07,57.43871,10.46715,Passer,Passer montanus
100946,2022-01-08,56.86844,10.19406,Lutra,Lutra lutra
100947,2022-01-09,55.9699,11.76003,Garrulus,Garrulus glandarius
100948,2022-01-09,55.55876,12.56006,Tringa,Tringa totanus
